Position,FullName,FirstName,LastName,RawTime,RoundedTime,Year,School,Date,Meet,
2143,Grant Sims,Grant,Sims,3:58.93,3:59,Fr,West Texas A&M,"April 21, 2024",2024 Buffalo Invitational,
2144,Jacob Bennett,Jacob,Bennett,3:58.93,3:59,Jr,Minnesota State,"May 4, 2024",Maverick Open #2,
2145,Sebastian Pizarro,Sebastian,Pizarro,3:58.94,3:59,Fr,Penn,"April 20, 2024",Paul Donahue Invite,
2146,Alec Fleming,Alec,Fleming,3:58.94,3:59,Sr,Virginia Tech,"April 28, 2024",Virginia High Performance,
2147,Greyson Akers,Greyson,Akers,3:58.95,3:59,So,Mesa (Ariz.) CC,"March 16, 2024",Arizona Spring Break Fiesta,
2148,Jonathan Cobb,Jonathan,Cobb,3:58.95,3:59,Sr,Lynchburg,"March 23, 2024",Dr. Jack M Toms Invitational ,
2149,Colten Brown,Colten,Brown,3:58.95,3:59,Sr,Oklahoma Christian,"May 3, 2024",Arkansas Twilight,
2150,Drew Kolodge,Drew,Kolodge,3:58.96,3:59,Jr,Gonzaga,"March 22, 2024",2024 Buc Scoring Invite,
2151,Kalieb Redda,Kalieb,Redda,3:58.96,3:59,Fr,Columbia (Mo.),"April 12, 2024",Mule Relays,
2152,Owen Shifflett,Owen,Shifflett,3:58.97,3:59,Fr,Furman,"March 23, 2024",Bob Davidson Team Challenge presented by Norris Woody,
2153,Adam Bohm,Adam,Bohm,3:58.97,3:59,Jr,Minnesota State,"April 24, 2024",Gary Wilson Invitational,
2154,Chase Holwerda,Chase,Holwerda,3:58.97,3:59,Fr,Cornerstone (Mich.),"May 2, 2024",Wolverine-Hoosier (WHAC) Outdoor Championships,
2155,Jordan Haney,Jordan,Haney,3:58.98,3:59,Jr,UC San Diego,"March 22, 2024",45th Aztec Invitational (Day 2),
2156,Sahil Dodda,Sahil,Dodda,3:58.98,3:59,So,Penn,"March 23, 2024",Penn Challenge,
2157,Ryan Sarney,Ryan,Sarney,3:58.98,3:59,Fr,Northeastern,"March 30, 2024",UCONN Dog Fight,
2158,Mason Jobe,Mason,Jobe,3:58.98,3:59,Sr,California (Pa.),"April 13, 2024",Bison Outdoor Classic,
2159,Andrew Kivett,Andrew,Kivett,3:58.98,3:59,So,Wake Forest,"April 19, 2024",Wake Forest Invitational,
2160,Nicholas Gonzalez,Nicholas,Gonzalez,3:58.98,3:59,Sr,"St. Edward""s","April 20, 2024",J Fred Duckett/Rice Twilight,
2161,Gil Bothwell,Gil,Bothwell,3:58.99,3:59,Jr,Chapman,"April 6, 2024",Pomona-Pitzer T&F Invite,
2162,Camron Gaddis,Camron,Gaddis,3:58.99,3:59,So,Clayton State,"April 29, 2024",2024 PBC Outdoor TF,
2163,Caleb Wright,Caleb,Wright,3:58.99,3:59,Sr,Montreat (N.C.),"May 3, 2024",The Hill City Twilight,
2164,Cole Haith,Cole,Haith,3:59.00,3:59,So,Creighton,"April 12, 2024",Wichita State KT Woodman Invitational,
2165,Will Dennis,Will,Dennis,3:59.01,3:59,Jr,Lewis & Clark,"March 16, 2024",L&C Electric Forest Collegiate Open,
2166,William Dehmler,William,Dehmler,3:59.01,3:59,Sr,Washington (Mo.),"April 6, 2024",Illinois College True Blue Invite,
2167,Simon Donovan,Simon,Donovan,3:59.01,3:59,Fr,Tufts,"May 4, 2024",NE Division 3,
2168,William Marchant,William,Marchant,3:59.02,3:59,Sr,Buffalo,"April 7, 2024",UR Alumni Invitational,
2169,George Cahill,George,Cahill,3:59.02,3:59,So,Amherst,"May 4, 2024",NE Division 3,
2170,Michael Rodriguez,Michael,Rodriguez,3:59.03,3:59,Jr,TCNJ,"March 29, 2024",Bobcat Invitational,
2171,Kai Hillier,Kai,Hillier,3:59.03,3:59,So,Wheaton (Mass.),"April 20, 2024",Trinity Invitational,
2172,Michael Fama,Michael,Fama,3:59.03,3:59,Jr,Stony Brook,"April 20, 2024",Yale Mark Young Invitational,
2173,Alex Leroy,Alex,Leroy,3:59.04,3:59,Fr,San Diego Mesa,"March 23, 2024",Willie Williams Classic,
2174,Demetris Love,Demetris,Love,3:59.04,3:59,So,Embry-Riddle (Ariz.),"April 6, 2024",Pomona-Pitzer T&F Invite,
2175,Anson Butler,Anson,Butler,3:59.06,3:59,So,SUNY Geneseo,"April 7, 2024",UR Alumni Invitational,
2176,Ryan Pena,Ryan,Pena,3:59.06,3:59,So,Ramapo,"April 26, 2024",Vassar April Twilight,
2177,Gavin Sweeney,Gavin,Sweeney,3:59.06,3:59,Fr,Liberty,"May 1, 2024",Liberty Twilight Qualifier,
2178,Danny Gall,Danny,Gall,3:59.06,3:59,Fr,RPI,"May 3, 2024",Liberty League Outdoor Championships,
2179,Davis Cote,Davis,Cote,3:59.07,3:59,Jr,Vermont,"April 19, 2024",George Davis Invitational,
2180,Tyler Davis,Tyler,Davis,3:59.07,3:59,Fr,Lane (Ore.) CC,"May 3, 2024",Oregon Twilight,
2181,Caleb Hymans,Caleb,Hymans,3:59.08,3:59,Fr,George Mason,"March 16, 2024",Dan Stimson Memorial Invitational,
2182,Zach Utz,Zach,Utz,3:59.08,3:59,So,Middlebury,"April 12, 2024",Carla Coffey Classic,
2183,Tyler Perry,Tyler,Perry,3:59.10,3:59,Sr,Marist,"April 13, 2024",Bison Outdoor Classic,
2184,Charlie Bardwell,Charlie,Bardwell,3:59.10,3:59,Fr,Olivet Nazarene (Ill.),"April 13, 2024",ONU Tiger Open,
2185,Nick Bachelor,Nick,Bachelor,3:59.10,3:59,So,Augustana (S.D.),"May 11, 2024",NSIC T&F Outdoor Championship,
2186,Vincent Sarino,Vincent,Sarino,3:59.11,3:59,Jr,Cal Poly Pomona,"March 22, 2024",Mangrum Invite,
2187,Evan McGregor,Evan,McGregor,3:59.11,3:59,So,"Saint Joseph""s","April 20, 2024",Paul Donahue Invite,
2188,Ryan Handy,Ryan,Handy,3:59.11,3:59,Fr,Indiana State,"May 3, 2024",2024 Billy Hays Inv.,
2189,Thijs Terlouw,Thijs,Terlouw,3:59.12,3:59,Sr,Davis and Elkins,"March 23, 2024",Dr. Jack M Toms Invitational ,
2190,Casey Goetschel,Casey,Goetschel,3:59.12,3:59,Fr,LSU,"April 20, 2024",2024 LSU Alumni Gold,
2191,Theo Papas,Theo,Papas,3:59.12,3:59,Fr,Walsh,"April 25, 2024",Walsh Invitational,
2192,Ivan Slyepkan,Ivan,Slyepkan,3:59.13,3:59,Sr,Ohio State,"March 30, 2024",Raleigh Relays,
2193,Nathan Fogarty,Nathan,Fogarty,3:59.13,3:59,Jr,Wesleyan (Conn.),"April 7, 2024",Amherst Spring Fling,
2194,Colin Funk,Colin,Funk,3:59.13,3:59,Fr,George Washington,"April 12, 2024",Stevenson Invitational,
2195,Sam Fulbright,Sam,Fulbright,3:59.14,3:59,Jr,Idaho,"March 22, 2024",2024 Buc Scoring Invite,
2196,Thomas Burfeind,Thomas,Burfeind,3:59.14,3:59,Jr,Stony Brook,"April 4, 2024",Colonial Relays,
2197,Corey Rinehart,Corey,Rinehart,3:59.14,3:59,Jr,Ohio Northern,"May 2, 2024",OAC Outdoor Championships,
2198,Garrett Hough,Garrett,Hough,3:59.14,3:59,Sr,Central Washington,"May 3, 2024",Oregon Twilight,
2199,Nathan Larson,Nathan,Larson,3:59.15,3:59,Jr,Michigan State,"April 5, 2024",Spartan Invitational 2024,
2200,Ryan Meadows,Ryan,Meadows,3:59.15,3:59,Sr,Youngstown State,"May 9, 2024",Harrison Dillard Twilight,
2201,Devin Chappel,Devin,Chappel,3:59.16,3:59,Fr,Kansas State,"May 3, 2024",WSU Spring Open,
2202,Marcus Tortorella,Marcus,Tortorella,3:59.17,3:59,Fr,Nova Southeastern,"March 23, 2024",Hurricane Collegiate Invitational,
2203,Edward Frey,Edward,Frey,3:59.17,3:59,Sr,Aquinas (Mich.),"April 19, 2024",Al Owens Classic,
2204,Anthony Gargani,Anthony,Gargani,3:59.17,3:59,So,"Saint Joseph""s","April 20, 2024",Paul Donahue Invite,
2205,Miles Olofson,Miles,Olofson,3:59.17,3:59,Jr,Sioux Falls,"May 1, 2024",Maverick Open #1,
2206,Colby Medeiros,Colby,Medeiros,3:59.18,3:59,So,Assumption,"May 3, 2024",NE10 Championships,
2207,James Martinez,James,Martinez,3:59.19,3:59,So,Monmouth,"April 1, 2024",Penn Invitational,
2208,William Keiser,William,Keiser,3:59.19,3:59,Fr,Colgate,"March 30, 2024",Hamilton College Continental Invitational,
2209,Ethan Stamey,Ethan,Stamey,3:59.19,3:59,Jr,Montreat (N.C.),"April 18, 2024",Appalachian (AAC) Outdoor Championships,
2210,Matthew Vickers,Matthew,Vickers,3:59.20,3:59,Jr,Occidental,"March 9, 2024",Occidental Distance Carnival & Spring Break Classic,
2211,Caleb Sayler,Caleb,Sayler,3:59.20,3:59,Jr,Dakota Wesleyan (S.D.),"March 28, 2024",Wayne State Invite,
2212,Brady Griebel,Brady,Griebel,3:59.21,3:59,Jr,Northern Iowa,"May 3, 2024",Badger Challenge,
2213,Ethan Brooks,Ethan,Brooks,3:59.22,3:59,So,UC Davis,"March 16, 2024",2024 Hornet Invite,
2214,Oussama Ajala,Oussama,Ajala,3:59.22,3:59,Sr,Catawba,"March 22, 2024",Phoenix Invitational,
2215,Josh Delgado,Josh,Delgado,3:59.22,3:59,Jr,Southern Illinois,"March 22, 2024",Margaret Simmons Invitational,
2216,Kalib Tolle,Kalib,Tolle,3:59.23,3:59,Fr,Wright State,"May 3, 2024",Horizon League,
2217,Amos Beadle,Amos,Beadle,3:59.23,3:59,Sr,Alabama State,"May 4, 2024",2024 SWAC OTF Championship,
2218,Marian Drazan,Marian,Drazan,3:59.23,3:59,Fr,Delaware State,"May 6, 2024",MEAC Outdoor Championships,
2219,Michael Kolor,Michael,Kolor,3:59.24,3:59,Sr,Club Northwest,"March 2, 2024",Ed Boitano Invitational,
2220,Max Jones,Max,Jones,3:59.24,3:59,Sr,Southern Utah,"March 22, 2024",Utah Tech Invitational,
2221,Rowan Cassidy,Rowan,Cassidy,3:59.24,3:59,So,Johns Hopkins,"March 30, 2024",Navy Outdoor Invitational,
2222,Ammon Smith,Ammon,Smith,3:59.25,3:59,Fr,Army West Point,"March 16, 2024",West Point Spring Open,
2223,Mitchell Hopf,Mitchell,Hopf,3:59.25,3:59,Sr,Southern Indiana,"March 28, 2024",Wash U Distance Carnival,
2224,Justin DePinto,Justin,DePinto,3:59.25,3:59,Sr,Maryland,"April 13, 2024",2024 Bryan Clay Invitational,
2225,Brian Limo,Brian,Limo,3:59.26,3:59,Fr,Kennesaw State,"April 5, 2024",Crimson Tide Invite,
2226,Tyler Guggemos,Tyler,Guggemos,3:59.26,3:59,So,Davenport (Mich.),"April 5, 2024",GVSU Early Meet,
2227,Ezekiel Harless,Ezekiel,Harless,3:59.27,3:59,Sr,Lee (Tenn.),"March 23, 2024",Lee University Invitational,
2228,Ethan Wever,Ethan,Wever,3:59.27,3:59,Jr,University of Tennessee Club,"April 19, 2024",Catamount Classic ,
2229,Kyle Embry,Kyle,Embry,3:59.27,3:59,Sr,Morehead State,"May 9, 2024",Ohio Valley (OVC) Outdoor Championships,
2230,Adam Sage,Adam,Sage,3:59.28,3:59,Sr,Claremont-Mudd-Scripps,"April 6, 2024",Pomona-Pitzer T&F Invite,
2231,John Farrell,John,Farrell,3:59.28,3:59,So,Brown,"April 20, 2024",Yale Mark Young Invitational,
2232,Jacob Harberts,Jacob,Harberts,3:59.28,3:59,So,Indiana Wesleyan,"May 9, 2024",NCC Carius/Gregory Meet,
2233,Donavyn Adair,Donavyn,Adair,3:59.29,3:59,Fr,Spokane (Wash.) CC,"April 27, 2024",Oregon State High Performance,
2234,Sylas Chambers,Sylas,Chambers,3:59.30,3:59,Jr,Milligan (Tenn.),"April 5, 2024",Tennessee Invitational,
2235,Riley Willcox,Riley,Willcox,3:59.31,3:59,Jr,Mount Olive,"March 30, 2024",Hornet Open,
2236,Nicholas Taubenheim,Nicholas,Taubenheim,3:59.31,3:59,Jr,Claremont-Mudd-Scripps,"April 6, 2024",Pomona-Pitzer T&F Invite,
2237,Samuel Dewar,Samuel,Dewar,3:59.31,3:59,Fr,East Carolina,"April 12, 2024",Duke Invitational,
2238,Wesley Hollowell,Wesley,Hollowell,3:59.31,3:59,So,Oakland,"April 19, 2024",Elaine Leigh Invite,
2239,Sadio Fenner,Sadio,Fenner,3:59.32,3:59,Sr,Nebraska,"April 13, 2024",2024 Bryan Clay Invitational,
2240,Rouxan le Roux,Rouxan,le Roux,3:59.32,3:59,Jr,Biola (Calif.),"May 11, 2024",APU Franson Last Chance,
2241,Galen Topper,Galen,Topper,3:59.33,3:59,Jr,Stanford,"April 13, 2024",2024 Bryan Clay Invitational,
2242,Dominic Pena,Dominic,Pena,3:59.33,3:59,Fr,RPI,"April 20, 2024",Tufts Sunshine Classic,
2243,Noah Meacham,Noah,Meacham,3:59.34,3:59,Fr,Valparaiso,"April 19, 2024",Jesse Owens Classic,
2244,Jacob DAleo,Jacob,DAleo,3:59.34,3:59,Sr,Embry-Riddle (Fla.),"April 29, 2024",2024 PBC Outdoor TF,
2245,Samuel Shipp,Samuel,Shipp,3:59.35,3:59,Fr,Tusculum,"April 19, 2024",Catamount Classic ,
2246,Yonas Sauers,Yonas,Sauers,3:59.37,3:59,Jr,Seattle,"March 16, 2024",OSU PNW Invitational,
2247,Ethan Kailey,Ethan,Kailey,3:59.37,3:59,Jr,Ouachita Baptist,"May 1, 2024",Great American (GAC) Outdoor Championships,
2248,Logan Rickey,Logan,Rickey,3:59.37,3:59,Jr,Texas A&M-Corpus Christi,"May 9, 2024",Southland Outdoor Championships,
2249,Daniel Sullivan,Daniel,Sullivan,3:59.38,3:59,Fr,Clemson,"April 20, 2024",USC Outdoor Open,
2250,Carson Laney,Carson,Laney,3:59.38,3:59,Sr,Northwood (Mich.),"April 25, 2024",GVSU Extra Weekend Meet,
2251,Dennis Kipngeno,Dennis,Kipngeno,3:59.38,3:59,Sr,Texas A&M-Corpus Christi,"April 26, 2024",Texas Invitational (outdoor),
2252,Cooper Parmer,Cooper,Parmer,3:59.38,3:59,So,Mississippi College,"April 26, 2024",Mike McMillian Invite,
2253,Jordan Galloway,Jordan,Galloway,3:59.38,3:59,So,Macalester,"May 1, 2024",St. Thomas Joe Sweeney Invitational,
2254,Jaden Wiley,Jaden,Wiley,3:59.39,3:59,Fr,Cal State Fullerton,"March 15, 2024",2024 Challenge Cup,
2255,Rocky Rowedder,Rocky,Rowedder,3:59.39,3:59,Jr,"The Master""s (Calif.)","March 22, 2024",Bob Larsen Distance Carnival,
2256,Julian Dominguez,Julian,Dominguez,3:59.40,3:59,Fr,Texas State,"March 16, 2024",2024 UTSA Invitational,
2257,Will Loggia,Will,Loggia,3:59.40,3:59,Sr,Boston University,"April 19, 2024",Sean Collier Invitational,
2258,Carter Stedman,Carter,Stedman,3:59.42,3:59,Fr,Northwest Nazarene,"April 5, 2024",2024 Whitworth Peace Meet,
2259,Anthony Eddy,Anthony,Eddy,3:59.42,3:59,Jr,North Central (Ill.),"May 9, 2024",NCC Carius/Gregory Meet,
2260,Ellis McKean,Ellis,McKean,3:59.43,3:59,Jr,San Francisco,"March 16, 2024",2024 Hornet Invite,
2261,Lukasz Iwanowski,Lukasz,Iwanowski,3:59.43,3:59,So,Saint Louis,"April 5, 2024",SLU Billiken,
2262,Siyabonga Mokgothu,Siyabonga,Mokgothu,3:59.43,3:59,So,Cloud County (Kan.) CC,"May 4, 2024",Region VI Championships,
2263,Shane Siterlet,Shane,Siterlet,3:59.44,3:59,Fr,Saginaw Valley State,"May 2, 2024",2024 GLIAC Championships,
2264,Zach Hentschel,Zach,Hentschel,3:59.45,3:59,Sr,South Dakota Mines,"April 12, 2024",Mule Relays,
2265,Josh Miller,Josh,Miller,3:59.45,3:59,Fr,West Chester,"April 20, 2024",Paul Donahue Invite,
2266,Nathan Hirsch,Nathan,Hirsch,3:59.45,3:59,Jr,Marquette,"April 20, 2024",Gibson Invitational,
2267,Austin Hall,Austin,Hall,3:59.46,3:59,So,Purdue Fort Wayne,"April 20, 2024",Gibson Invitational,
2268,Nate Olsen,Nate,Olsen,3:59.46,3:59,Fr,Stanislaus State,"April 26, 2024",Fresno State Invitational,
2269,Sullivan Hanna,Sullivan,Hanna,3:59.46,3:59,Fr,McNeese State,"May 9, 2024",Southland Outdoor Championships,
2270,Cliff Carty,Cliff,Carty,3:59.47,3:59,Jr,Maryland,"March 15, 2024",UCF Black and Gold Invite,
2271,JT Basco,JT,Basco,3:59.47,3:59,Jr,Ohio Northern,"May 2, 2024",OAC Outdoor Championships,
2272,Chris Miserendino,Chris,Miserendino,3:59.47,3:59,So,St. Ambrose (Iowa),"May 15, 2024",Augustana Midwest Twilight Qualifier,
2273,John Bear,John,Bear,3:59.48,3:59,Sr,Pittsburg State,"March 29, 2024",SBU Bearcat Invitational,
2274,Trevor Kuncl,Trevor,Kuncl,3:59.48,3:59,So,Concordia (Neb.),"May 10, 2024",Concordia Twilight,
2275,Nicolas Pizarro,Nicolas,Pizarro,3:59.49,3:59,Fr,Penn,"March 23, 2024",Penn Challenge,
2276,Nate Griepentrog,Nate,Griepentrog,3:59.49,3:59,Sr,Milwaukee,"March 30, 2024",Redbird Challenge,
2277,Angel Galan,Angel,Galan,3:59.49,3:59,So,Erskine,"April 27, 2024",Conference Carolinas Championships ,
2278,Conner Wingfield,Conner,Wingfield,3:59.50,4:00,Fr,Colorado,"April 13, 2024",2024 Bryan Clay Invitational,
2279,Vidhur Polam,Vidhur,Polam,3:59.50,4:00,So,Penn,"April 20, 2024",Paul Donahue Invite,
2280,Trey Masterson,Trey,Masterson,3:59.50,4:00,Jr,Ohio Northern,"April 20, 2024",Mike Becraft Invitational,
2281,Noah Hasselblad,Noah,Hasselblad,3:59.51,4:00,Jr,Eastern Washington,"April 5, 2024",2024 Whitworth Peace Meet,
2282,Grant Martinez,Grant,Martinez,3:59.52,4:00,Fr,TCU,"March 23, 2024",Texas A&M Invitational,
2283,Drey Maton,Drey,Maton,3:59.52,4:00,Sr,Illinois Chicago,"April 13, 2024",Gary Wieneke Memorial,
2284,David Seel,David,Seel,3:59.52,4:00,Fr,Muhlenberg,"May 13, 2024",2024 Widener FQ Meet,
2285,Brennen Popik,Brennen,Popik,3:59.53,4:00,Jr,Tampa,"February 17, 2024",Tampa Spartans Open,
2286,Noah Price,Noah,Price,3:59.53,4:00,Fr,IUPUI,"March 22, 2024",Blizzard Buster,
2287,Vova Herdman,Vova,Herdman,3:59.53,4:00,Fr,Heidelberg,"March 30, 2024",Tiffelberg Open,
2288,Euan Lagan,Euan,Lagan,3:59.53,4:00,Jr,Southeastern Louisiana,"April 12, 2024",Strawberry Relays,
2289,Robert DAquila,Robert,DAquila,3:59.53,4:00,So,Wesleyan (Conn.),"April 20, 2024",Trinity Invitational,
2290,Kellen Ruiz,Kellen,Ruiz,3:59.54,4:00,So,George Fox,"March 23, 2024",Westmont Classic,
2291,Noah Tegeler,Noah,Tegeler,3:59.54,4:00,Jr,Illinois-Springfield,"April 20, 2024",Gibson Invitational,
2292,Malcolm Brown,Malcolm,Brown,3:59.54,4:00,Jr,Bethune-Cookman,"May 4, 2024",2024 SWAC OTF Championship,
2293,Jake Johnson,Jake,Johnson,3:59.55,4:00,Fr,North Texas,"March 23, 2024",Rice 41st Annual Victor Lopez Classic,
2294,Lincoln Johnston,Lincoln,Johnston,3:59.55,4:00,Sr,University of Michigan (Ann Arbor) Club,"April 19, 2024",Elaine Leigh Invite,
2295,Angel Solis,Angel,Solis,3:59.56,4:00,So,Illinois Chicago,"March 30, 2024",Redbird Challenge,
2296,Jake Krause,Jake,Krause,3:59.56,4:00,Jr,UW-Oshkosh,"May 3, 2024",WIAC Outdoor Championships,
2297,Justyn France,Justyn,France,3:59.57,4:00,Sr,Black Hills State,"April 12, 2024",Mule Relays,
2298,Weston Ellison,Weston,Ellison,3:59.57,4:00,Fr,Alabama-Huntsville,"April 12, 2024",Berry Field Day Invitatinal,
2299,Carter Boullard,Carter,Boullard,3:59.57,4:00,Fr,Bucknell,"April 13, 2024",Bison Outdoor Classic,
2300,Hayden Kuhn,Hayden,Kuhn,3:59.58,4:00,So,Iowa,"April 13, 2024",2024 Bryan Clay Invitational,
2301,Billy Clewell,Billy,Clewell,3:59.58,4:00,Fr,Rutgers,"April 20, 2024",Rider Invite,
2302,Lucas Thompson,Lucas,Thompson,3:59.59,4:00,So,William & Mary,"March 16, 2024",Dan Stimson Memorial Invitational,
2303,Troy Davidson,Troy,Davidson,3:59.59,4:00,Jr,Southwest Baptist,"April 13, 2024",2024 Bryan Clay Invitational,
2304,Noa Miller,Noa,Miller,3:59.59,4:00,Sr,Multnomah (Ore.),"April 27, 2024",Oregon State High Performance,
2305,Enock Kimutai,Enock,Kimutai,3:59.60,4:00,Sr,Texas A&M-Corpus Christi,"March 23, 2024",Rice 41st Annual Victor Lopez Classic,
2306,Andres Leon,Andres,Leon,3:59.60,4:00,Jr,Westmont (Calif.),"April 6, 2024",Pomona-Pitzer T&F Invite,
2307,Calvin Fiala,Calvin,Fiala,3:59.60,4:00,Jr,UW-Stout,"May 3, 2024",WIAC Outdoor Championships,
2308,Tyler King,Tyler,King,3:59.61,4:00,Jr,Hope,"April 13, 2024",Wheaton College Invitational,
2309,Clayton Kuiper,Clayton,Kuiper,3:59.62,4:00,So,Central Michigan,"April 6, 2024",Golden Grizzlies,
2310,Juan Chantaca,Juan,Chantaca,3:59.63,4:00,Fr,UC Irvine,"March 15, 2024",2024 Challenge Cup,
2311,Zachary Sever,Zachary,Sever,3:59.63,4:00,Sr,Bryan (Tenn.),"April 18, 2024",Appalachian (AAC) Outdoor Championships,
2312,Jonah Godina,Jonah,Godina,3:59.64,4:00,Fr,Saint Mary (Kan.),"April 12, 2024",Wichita State KT Woodman Invitational,
2313,Matt Mason,Matt,Mason,3:59.64,4:00,Sr,Boston University,"April 13, 2024",2024 Bryan Clay Invitational,
2314,Dylan French,Dylan,French,3:59.65,4:00,Jr,Shawnee State (Ohio),"March 16, 2024",49er Classic,
2315,Drew Monahan,Drew,Monahan,3:59.67,4:00,Sr,Walsh,"April 25, 2024",Walsh Invitational,
2316,Reid Headrick,Reid,Headrick,3:59.68,4:00,Fr,San Francisco,"March 16, 2024",2024 Hornet Invite,
2317,Gianni Estrada,Gianni,Estrada,3:59.68,4:00,Jr,Greenville,"April 6, 2024",Illinois College True Blue Invite,
2318,Daniel Appleford,Daniel,Appleford,3:59.68,4:00,Fr,Colo. School of Mines,"April 19, 2024",Mines Kit Mayer Classic ,
2319,Theodore Pintabona,Theodore,Pintabona,3:59.68,4:00,Sr,Roberts Wesleyan,"April 20, 2024",Paul Donahue Invite,
2320,Elias Perez,Elias,Perez,3:59.69,4:00,Jr,Western New Mexico,"April 6, 2024",Triton Invitational,
2321,Row Sullivan,Row,Sullivan,3:59.70,4:00,Sr,American,"March 22, 2024",Fred Hardy Invitational,
2322,Yankarlos Diaz,Yankarlos,Diaz,3:59.70,4:00,Sr,Central Connecticut State,"April 20, 2024",Holy Cross Invitational,
2323,Mohammed Al-Yafaee,Mohammed,Al-Yafaee,3:59.71,4:00,So,Indian Hills (Iowa) CC,"April 12, 2024",Jim Duncan Invitational,
2324,Brennan Wellock,Brennan,Wellock,3:59.71,4:00,So,Shippensburg,"April 13, 2024",Bison Outdoor Classic,
2325,Jacob Bach,Jacob,Bach,3:59.72,4:00,Fr,Wyoming,"March 29, 2024",Jack Christiansen Invitational,
2326,Ryan Connelly,Ryan,Connelly,3:59.72,4:00,Fr,Frostburg State,"April 20, 2024",Hopkins Loyola Invitational,
2327,Tyler Vandierdonck,Tyler,Vandierdonck,3:59.72,4:00,Fr,Aquinas (Mich.),"May 2, 2024",Wolverine-Hoosier (WHAC) Outdoor Championships,
2328,Adrian Solis,Adrian,Solis,3:59.74,4:00,Fr,West Texas A&M,"March 16, 2024",WT Spring Break Open,
2329,Cooper Michaud,Cooper,Michaud,3:59.74,4:00,So,American,"March 22, 2024",Fred Hardy Invitational,
2330,Dillon VanDemortel,Dillon,VanDemortel,3:59.74,4:00,Sr,SUNY Brockport,"April 7, 2024",UR Alumni Invitational,
2331,Samuel Nelson,Samuel,Nelson,3:59.74,4:00,Fr,Salt Lake (Utah) CC,"May 17, 2024",NJCAA Division 1 National Championship,
2332,Nolan Moeller,Nolan,Moeller,3:59.75,4:00,Fr,Drury,"March 29, 2024",SBU Bearcat Invitational,
2333,OJ Ruiz,OJ,Ruiz,3:59.75,4:00,So,UTSA,"March 29, 2024",Bobcat Invitational,
2334,Balin Doud,Balin,Doud,3:59.75,4:00,So,Heartland (Ill.) CC,"April 24, 2024",Big Blue Friday Night Invite,
2335,Adam Cohan,Adam,Cohan,3:59.75,4:00,Sr,Claremont-Mudd-Scripps,"May 4, 2024",Occidental Invitational,
2336,Mitchell Gits,Mitchell,Gits,3:59.76,4:00,Jr,IUPUI,"March 22, 2024",Blizzard Buster,
2337,Owen Nahf,Owen,Nahf,3:59.76,4:00,Jr,Moravian,"April 19, 2024",The Coach Pollard Invitational,
2338,Aiden Amshoff,Aiden,Amshoff,3:59.76,4:00,So,Xavier,"April 20, 2024",Jim Green Track & Field Invitational,
2339,Gudisa Adnow,Gudisa,Adnow,3:59.76,4:00,Jr,Sam Houston State,"April 20, 2024",J Fred Duckett/Rice Twilight,
2340,Nick Hunziker,Nick,Hunziker,3:59.76,4:00,Sr,Iona,"May 4, 2024",MAAC Outdoor Track & Field Championships,
2341,Jason Cerda,Jason,Cerda,3:59.76,4:00,Jr,Puget Sound,"May 4, 2024",Portland Twilight Results,
2342,Jake Smith,Jake,Smith,3:59.77,4:00,Sr,Texas State,"March 22, 2024",Charles Austin Classic,
2343,Alex Hislop,Alex,Hislop,3:59.77,4:00,Sr,Buffalo,"March 22, 2024",Stan Romanoski Open,
2344,Joseph Harker,Joseph,Harker,3:59.77,4:00,So,CSU Pueblo,"April 13, 2024",2024 Bryan Clay Invitational,
2345,Matthew Allen,Matthew,Allen,3:59.77,4:00,Fr,New Hampshire,"April 26, 2024",America East Pre-Conference,
2346,Wyatt Landis,Wyatt,Landis,3:59.77,4:00,Sr,Oklahoma State,"May 3, 2024",Arkansas Twilight,
2347,William Hennum,William,Hennum,3:59.77,4:00,Jr,Willamette,"May 11, 2024",L&C Portland Distance Carnival,
2348,Roger Reyes,Roger,Reyes,3:59.78,4:00,Sr,St. Thomas (Fla.),"March 16, 2024",Hurricane Invitational,
2349,Henry Coughlan,Henry,Coughlan,3:59.78,4:00,Fr,Texas,"March 30, 2024",96th Texas Clyde Littlefield Relays - Collegiate,
2350,Cade Robinson,Cade,Robinson,3:59.78,4:00,Jr,West Virginia Wesleyan,"April 13, 2024",Tiffin Track Carnival 2024,
2351,Henry Didden,Henry,Didden,3:59.78,4:00,So,Bucknell,"April 27, 2024",Bloomsburg,
2352,Josiah Magley,Josiah,Magley,3:59.78,4:00,So,Oakland,"May 3, 2024",Horizon League,
2353,Connor Bartek,Connor,Bartek,3:59.79,4:00,Fr,North Texas,"April 19, 2024",2024 Michael Johnson Inv,
2354,Pedro Balestrini,Pedro,Balestrini,3:59.80,4:00,Fr,Cowley (Kan.),"March 23, 2024",Mark Phillips Tiger Open,
2355,Josh Thaler,Josh,Thaler,3:59.80,4:00,Jr,"Saint Joseph""s","March 30, 2024",Danny Curran Invite,
2356,Wesley Maxwell,Wesley,Maxwell,3:59.80,4:00,So,Southern Arkansas,"May 1, 2024",Great American (GAC) Outdoor Championships,
2357,Malakai Hanson,Malakai,Hanson,3:59.81,4:00,So,Fort Lewis,"March 23, 2024",Willie Williams Classic,
